Name,PD
h6_2.1,"V[0,1,2],V[3,4,5],X[6,1,5,7],X[2,6,8,9],X[10,3,0,11],X[11,12,13,10],X[13,14,7,4],X[14,12,9,8]"
h6_2.2,"V[0,1,2],V[3,4,5],X[6,7,1,5],X[8,2,7,9],X[3,0,10,11],X[12,13,11,10],X[4,13,14,6],X[9,14,12,8]"
h6_3,"V[0,1,2],V[3,4,5],X[2,6,7,8],X[9,3,10,7],X[8,10,5,0],X[4,11,12,1],X[13,9,6,14],X[11,13,14,12]"
h6_4,"V[0,1,2],V[3,4,5],X[1,6,7,8],X[9,10,0,11],X[3,12,8,7],X[10,13,4,6],X[12,5,14,2],X[13,9,11,14]"
h6_5,"V[0,1,2],V[3,1,4],X[0,5,6,4],X[5,7,8,6],X[9,2,3,10],X[11,9,10,12],X[7,13,14,8],X[13,11,12,14]"
h6_6,"V[0,1,2],V[3,0,4],X[5,6,7,8],X[6,9,1,7],X[9,10,11,2],X[12,5,8,3],X[10,13,14,11],X[13,12,4,14]"
h6_7,"V[0,1,2],V[3,4,1],X[5,6,7,8],X[9,10,11,7],X[10,9,12,3],X[6,2,4,12],X[13,5,8,14],X[0,13,14,11]"
h6_8,"V[0,1,2],V[2,3,4],X[5,6,7,8],X[9,10,4,7],X[6,0,11,12],X[10,9,12,11],X[13,5,8,14],X[1,13,14,3]"
h6_9,"V[0,1,2],V[3,4,1],X[5,6,4,7],X[0,8,9,10],X[11,12,13,5],X[6,13,12,2],X[14,9,8,11],X[10,14,7,3]"
h7_19,"V[0,1,2],V[3,4,2],X[5,6,7,8],X[0,4,9,10],X[3,6,11,9],X[11,12,13,14],X[8,13,12,5],X[7,15,16,14],X[17,1,10,18],X[15,17,18,16]"
